Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2019 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",R 4 499 999,R            85 653     p/m,11 000 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",R 4 499 999,R            85 653     p/m,100 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",R 4 499 999,R            85 653     p/m,300 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",R 4 499 999,R            85 653     p/m,100 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63 Stronger Than Time,"Morningside, Sandton",R 4 499 995,R            85 653     p/m,1 000 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Sandton Central, Sandton",R 4 499 950,R            85 652     p/m,4 500 km,Used Car,Automatic
2021 Aston Martin DBX DBX,"Barbeque Downs, Midrand",R 4 499 950,R            85 652     p/m,1 000 km,Used Car,Automatic
1968 Ford Mustang Shelby GT500,"Vorna Valley, Midrand",R 4 499 900,R            85 651     p/m,5 000 km,Used Car,Manual
2021 Fiat Tipo Hatch 1.6 Life,,R 338 900,R            6 451     p/m,13 500 km,Used Car,Automatic
2022 Nissan Micra 84kW Turbo Tekna,,R 379 900,R            7 231     p/m,3 000 km,Used Car,Manual
2022 Suzuki Ignis 1.2 GLX,,R 229 700,R            4 372     p/m,3 000 km,Used Car,Manual
2009 Ferrari F430 Scuderia,"Kensington B, Randburg",R 4 499 900,R            85 651     p/m,15 450 km,Used Car,Automatic
1968 Ford Mustang Shelby GT500,"Vorna Valley, Midrand",R 4 499 900,R            85 651     p/m,5 000 km,Used Car,Manual
2018 Bentley Bentayga Diesel,"Sandown, Sandton",R 4 499 000,R            85 634     p/m,35 000 km,Used Car,Automatic
2020 Ferrari Portofino Portofino,"Bryanston, Sandton",R 4 450 000,R            84 702     p/m,4 800 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",R 4 399 999,R            83 750     p/m,100 km,Used Car,Automatic
,,,,100 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Benoni Industrial, Benoni",R 4 399 999,R            83 750     p/m,100 km,Used Car,Automatic
2022 Alfa Romeo Giulia Gtam,"Newlands, Pretoria",R 4 399 900,R            83 748     p/m,25 km,Used Car,Automatic
2022 Land Rover Defender 110 V8 007 Bond Edition,"Hurlingham Manor, Sandton",R 4 399 900,R            83 748     p/m,9 800 km,Used Car,Automatic
2019 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 4 399 000,R            83 731     p/m,32 000 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Constantia Kloof, Roodepoort",R 4 379 950,R            83 368     p/m,1 500 km,Used Car,Automatic
2020 MINI Hatch One Hatch 5-Door Auto,,R 379 000,R            7 214     p/m,18 000 km,Used Car,Automatic
2022 Mazda Mazda2 1.5 Dynamic Auto,,R 335 300,R            6 382     p/m,1 523 km,Used Car,Automatic
2014 BMW 3 Series 320i auto,,R 229 000,R            4 359     p/m,106 000 km,Used Car,Automatic
2016 Ferrari F12BERLINETTA F12berlinetta,"Kensington B, Randburg",R 4 349 900,R            82 796     p/m,31 000 km,Used Car,Automatic
2019 Porsche 911 GT3 RS,"Benoni Industrial, Benoni",R 4 299 999,R            81 847     p/m,9 800 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 299 995,R            81 846     p/m,100 km,Used Car,Automatic
2013 Ferrari 458 Spider,"Kensington B, Randburg",R 4 299 900,R            81 845     p/m,4 000 km,Used Car,Automatic
2020 Mercedes-AMG GT GT R Coupe,"Lonehill, Sandton",R 4 295 000,R            81 751     p/m,1 900 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Bryanston, Sandton",R 4 250 000,R            80 895     p/m,2 258 km,Used Car,Automatic
2013 Ferrari 458 Spider,"Laser Park, Roodepoort",R 4 249 000,R            80 876     p/m,4 100 km,Used Car,Automatic
2021 Mercedes-Maybach GLS GLS600,"Lonehill, Sandton",R 4 199 900,R            79 941     p/m,33 000 km,Used Car,Automatic
2019 Porsche 911 GT3 RS,"Lonehill, Sandton",R 4 149 900,R            78 990     p/m,12 600 km,Used Car,Automatic
2021 BMW X5 xDrive50i,"Benoni Industrial, Benoni",R 3 999 999,R            76 136     p/m,8 000 km,Used Car,Automatic
2021 Land Rover Defender 90 P400 X-Dynamic HSE,,R 1 619 000,R            30 816     p/m,8 200 km,Used Car,Automatic
2016 Audi TT TTS Coupe Quattro,,R 446 900,R            8 506     p/m,96 000 km,Used Car,Automatic
2022 Kia Picanto 1.0 STREET,,R 194 995,R            3 712     p/m,10 101 km,Used Car,Manual
1989 Mercedes-Benz 300 SL Auto,"Benoni Industrial, Benoni",R 3 999 999,R            76 136     p/m,15 000 km,Used Car,Automatic
2021 Toyota Land Cruiser 300 3.5T ZX,"Benoni Industrial, Benoni",POA,,8 000 km,Used Car,Automatic
2022 Audi R8 Spyder V10 Performance Quattro,"Sandown, Sandton",R 3 999 999,R            76 136     p/m,8 000 km,Used Car,Automatic
2014 Ferrari F12BERLINETTA F12berlinetta,"Benoni Industrial, Benoni",R 3 999 999,R            76 136     p/m,45 000 km,Used Car,Automatic
2020 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 3 999 995,R            76 136     p/m,23 000 km,Used Car,Automatic
2014 Rolls-Royce Ghost Ghost,"Morningside, Sandton",R 3 999 995,R            76 136     p/m,19 000 km,Used Car,Automatic
1994 Ferrari Testarossa 512 TR,"Paulshof, Sandton",R 3 999 950,R            76 135     p/m,69 000 km,Used Car,Manual
2022 Land Rover Defender 110 V8 007 Bond Edition,"Barbeque Downs, Midrand",R 3 999 950,R            76 135     p/m,1 000 km,Used Car,Automatic
,,,,1 000 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Vorna Valley, Midrand",R 3 999 900,R            76 134     p/m,10 000 km,Used Car,Automatic
2022 Alfa Romeo Giulia GTA,"Bryanston, Sandton",R 3 999 900,R            76 134     p/m,10 000 km,Used Car,Automatic
2019 BMW X5 M50d,,R 2 750 000,R            52 344     p/m,48 500 km,Used Car,Automatic
2022 Toyota Fortuner 2.8GD-6 VX,,R 1 999 900,R            38 066     p/m,45 km,Used Car,Automatic
2022 Toyota Fortuner 2.8GD-6 Auto,,R 1 899 900,R            36 163     p/m,150 km,Used Car,Automatic
2022 Alfa Romeo Giulia GTA,"Bryanston, Sandton",R 3 999 900,R            76 134     p/m,150 km,Used Car,Automatic
2022 BMW X5 M50d,"Ormonde, Johannesburg",R 3 999 900,R            76 134     p/m,2 000 km,Used Car,Automatic
2022 Land Rover Defender 110 V8 007 Bond Edition,"Morningside, Sandton",R 3 999 900,R            76 134     p/m,2 755 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 3 999 000,R            76 117     p/m,37 000 km,Used Car,Automatic
2019 McLaren 570 S Spider,"Kramerville, Sandton",R 3 999 000,R            76 117     p/m,5 200 km,Used Car,Automatic
2020 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 3 999 000,R            76 117     p/m,23 000 km,Used Car,Automatic
2022 Audi RSQ8 Quattro,"Kramerville, Sandton",R 3 999 000,R            76 117     p/m,120 km,Used Car,Automatic
2018 Bentley Bentayga W12,"Morningside, Sandton",R 3 899 995,R            74 233     p/m,14 000 km,Used Car,Automatic
2022 Toyota Land Cruiser 300 3.3D ZX,"Melrose Arch, Johannesburg",R 3 899 990,R            74 233     p/m,200 km,Used Car,Automatic
2019 Mercedes-Maybach S-Class S650,"Paulshof, Sandton",R 3 899 950,R            74 232     p/m,26 000 km,Used Car,Automatic
2021 Fiat 500 Twinair Rockstar,,R 239 000,R            4 549     p/m,5 000 km,Used Car,Manual
2013 Land Rover Range Rover Vogue SE SDV8,,R 639 900,R            12 180     p/m,157 000 km,Used Car,Automatic
2018 Nissan Almera 1.5 Acenta,,R 154 950,R            2 949     p/m,164 000 km,Used Car,Manual
2022 Audi R8 Coupe V10 Performance Quattro,"Bruma, Johannesburg",R 3 860 115,R            73 474     p/m,164 000 km,Used Car,Manual
