Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2011 BMW X5 xDrive30d M Sport,"Northcliff, Randburg",R 329 900,R            6 279     p/m,115 000 km,Used Car,Automatic
2016 Volvo V60 Cross Country T5 AWD Inscription,"Northcliff, Randburg",R 329 900,R            6 279     p/m,83 000 km,Used Car,Automatic
2016 Datsun Go 1.2 Lux,,R 99 000,R            1 884     p/m,88 190 km,Used Car,Manual
2015 Toyota Hilux 2.0 S,,R 199 900,R            3 805     p/m,251 874 km,Used Car,Manual
2013 Audi Q5 2.0TDI S Quattro Auto,,R 249 500,R            4 749     p/m,161 837 km,Used Car,Automatic
2015 Ford Ranger 3.2TDCi Double Cab Hi-Rider XLT Auto,"Glen Nerine, Sandton",R 329 890,R            6 279     p/m,120 233 km,Used Car,Automatic
2019 Hyundai Creta 1.6 Executive Limited Edition Auto,"Glen Nerine, Sandton",R 329 890,R            6 279     p/m,44 040 km,Used Car,Automatic
2016 Mazda CX-5 2.2DE AWD Akera,"Heidelberg Industrial, Heidelberg",R 329 800,R            6 277     p/m,131 000 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Rosettenville, Johannesburg",R 329 800,R            6 277     p/m,131 000 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Rosettenville, Johannesburg",R 329 800,R            6 277     p/m,131 000 km,Used Car,Automatic
,,,,131 000 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Rosettenville, Johannesburg",R 329 800,R            6 277     p/m,131 000 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Witkoppen, Sandton",R 329 800,R            6 277     p/m,4 500 km,Used Car,Manual
2021 Hyundai Venue 1.0T Motion Auto,"Witkoppen, Sandton",R 329 800,R            6 277     p/m,17 251 km,Used Car,Automatic
2019 Mitsubishi ASX 2.0 ES Auto,"Witkoppen, Sandton",R 329 800,R            6 277     p/m,74 000 km,Used Car,Automatic
2020 Suzuki Jimny 1.5 GLX AllGrip Auto,"Rosettenville, Johannesburg",R 329 800,R            6 277     p/m,57 500 km,Used Car,Automatic
2015 Jeep Grand Cherokee 3.6L Overland,,R 349 888,R            6 660     p/m,135 757 km,Used Car,Automatic
2021 Toyota Agya 1.0,,R 158 995,R            3 026     p/m,33 823 km,Used Car,Manual
2022 Renault Duster 1.5dCi Zen,,R 350 422,R            6 670     p/m,30 km,Used Car,Manual
2016 Mazda CX-5 2.2DE AWD Akera,"Heidelberg Industrial, Heidelberg",R 329 800,R            6 277     p/m,131 000 km,Used Car,Automatic
2020 Toyota Corolla Hatch 1.2T XR,"Oakdene, Johannesburg",R 329 800,R            6 277     p/m,43 000 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Bassonia, Johannesburg",R 329 754,R            6 277     p/m,101 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GL Allgrip,"Bassonia, Johannesburg",R 329 753,R            6 277     p/m,101 km,Used Car,Manual
,,,,101 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GL Allgrip,"Bassonia, Johannesburg",R 329 752,R            6 277     p/m,101 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GL Allgrip,"Bassonia, Johannesburg",R 329 751,R            6 277     p/m,101 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GL Allgrip,"Bassonia, Johannesburg",R 329 750,R            6 276     p/m,101 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GL Allgrip,"Bryanston, Sandton",R 329 700,R            6 276     p/m,101 km,Used Car,Manual
2020 Nissan NV350 Impendulo 2.5i 16-seater,"Bardene, Boksburg",R 329 500,R            6 272     p/m,144 320 km,Used Car,Manual
2015 Audi A6 3.0TDI,"Bardene, Boksburg",R 329 500,R            6 272     p/m,101 400 km,Used Car,Automatic
2017 Ford EcoSport 1.5TDCi Titanium,,R 217 900,R            4 148     p/m,107 500 km,Used Car,Manual
2015 Nissan Qashqai 1.6dCi Acenta Tech Auto,,R 289 900,R            5 518     p/m,70 200 km,Used Car,Automatic
2011 Toyota Fortuner 3.0D-4D Auto,,R 219 900,R            4 186     p/m,227 916 km,Used Car,Automatic
2017 Kia Sorento 2.2CRDi LX,"Heidelberg Industrial, Heidelberg",R 329 500,R            6 272     p/m,137 000 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Ruiterhof, Randburg",R 329 500,R            6 272     p/m,14 396 km,Used Car,Automatic
2017 BMW 3 Series 320i M Sport Auto,"Randpark Ridge, Randburg",R 329 500,R            6 272     p/m,108 500 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 329 399,R            6 270     p/m,27 200 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Glenanda, Johannesburg",R 329 399,R            6 270     p/m,20 927 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Glenanda, Johannesburg",R 329 399,R            6 270     p/m,20 763 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Glenanda, Johannesburg",R 329 399,R            6 270     p/m,27 834 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Glenanda, Johannesburg",R 329 399,R            6 270     p/m,18 809 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Glenanda, Johannesburg",R 329 399,R            6 270     p/m,23 456 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Glenanda, Johannesburg",R 329 399,R            6 270     p/m,22 905 km,Used Car,Automatic
2022 Hyundai Staria 2.2D Executive 9-seater,,R 719 900,R            13 703     p/m,17 500 km,Used Car,Automatic
2018 Toyota Fortuner 2.8GD-6 4x4 Auto,,R 569 900,R            10 848     p/m,94 000 km,Used Car,Automatic
2016 Datsun Go+ 1.2 Lux,,R 109 900,R            2 092     p/m,102 000 km,Used Car,Manual
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 329 399,R            6 270     p/m,27 981 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 329 399,R            6 270     p/m,42 710 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Ruiterhof, Randburg",R 329 399,R            6 270     p/m,24 254 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Elandspark, Johannesburg",R 329 399,R            6 270     p/m,30 484 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 329 399,R            6 270     p/m,27 200 km,Used Car,Automatic
2019 Haval H6 C 2.0T Luxury Auto,"Oakdene, Johannesburg",R 329 000,R            6 262     p/m,36 000 km,Used Car,Automatic
2019 MINI Hatch One Hatch 5-Door Auto,"Centurion Central, Centurion",R 329 000,R            6 262     p/m,36 192 km,Used Car,Automatic
2015 BMW 3 Series 320i M Sport Auto,"Centurion Central, Centurion",R 329 000,R            6 262     p/m,78 601 km,Used Car,Automatic
2016 BMW 1 Series 120i 5-Door Auto,"Oakdene, Johannesburg",R 329 000,R            6 262     p/m,76 500 km,Used Car,Automatic
2021 Kia Rio hatch 1.4 Tec,"Dayanglen, Boksburg",R 328 999,R            6 262     p/m,15 125 km,Used Car,Manual
2018 Toyota Hilux 2.4GD-6 4x4 SRX,,R 287 000,R            5 463     p/m,90 000 km,Used Car,Manual
2006 Volkswagen Jetta 1.6,,R 95 000,R            1 808     p/m,114 000 km,Used Car,Manual
2017 Isuzu KB 250D-Teq Double Cab 4x4 Hi-Rider,,R 295 000,R            5 615     p/m,80 000 km,Used Car,Manual
,,,,80 000 km,Used Car,Manual
2017 BMW 3 Series 320d GT M Sport Auto,"Selby, Johannesburg",R 328 999,R            6 262     p/m,110 000 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Horison, Roodepoort",R 328 900,R            6 260     p/m,110 000 km,Used Car,Automatic
2019 Hyundai Tucson 2.0 Premium,"Grand Central, Midrand",R 328 900,R            6 260     p/m,47 000 km,Used Car,Manual
2022 Ford EcoSport 1.5 Ambiente Auto,"Highveld Business Park, Centurion",R 328 700,R            6 257     p/m,3 500 km,Used Car,Automatic
2022 Ford EcoSport 1.5 Ambiente Auto,"Highveld Business Park, Centurion",R 328 700,R            6 257     p/m,3 900 km,Used Car,Automatic
2012 Jeep Wrangler 2.8CRD Sahara,"Kensington B, Randburg",R 327 900,R            6 241     p/m,188 000 km,Used Car,Automatic
2022 Opel Corsa 1.2T Edition,"Pretoria Central, Pretoria",R 327 900,R            6 241     p/m,188 000 km,Used Car,Automatic
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Cresta, Randburg",R 327 600,R            6 236     p/m,188 000 km,Used Car,Automatic
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Cresta, Randburg",R 327 600,R            6 236     p/m,188 000 km,Used Car,Automatic
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Braamfontein, Johannesburg",R 327 600,R            6 236     p/m,188 000 km,Used Car,Automatic
2019 Jaguar F-Pace 20d AWD R-Sport,,R 799 900,R            15 225     p/m,81 716 km,Used Car,Automatic
2019 Nissan NP200 1.6i,,R 169 950,R            3 235     p/m,135 612 km,Used Car,Manual
2022 Suzuki Celerio 1.0 GA,,R 171 700,R            3 268     p/m,135 612 km,Used Car,Manual
2022 Haval Jolion 1.5T City,"Kenilworth, Johannesburg",R 327 400,R            6 232     p/m,135 612 km,Used Car,Manual
2022 Mahindra XUV300 1.2T W8,"Glenvarloch, Nigel",R 326 999,R            6 224     p/m,135 612 km,Used Car,Manual
2022 Mahindra XUV300 1.2T W8,"Raceview, Alberton",R 326 999,R            6 224     p/m,135 612 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GA AllGrip,"Kew, Johannesburg",R 326 900,R            6 222     p/m,101 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GA AllGrip,"Rosettenville, Johannesburg",R 326 900,R            6 222     p/m,35 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GA AllGrip,"Rosettenville, Johannesburg",R 326 900,R            6 222     p/m,30 km,Used Car,Manual
2021 Fiat Tipo Hatch 1.6 Life,"Hennops Park Industrial, Centurion",R 326 900,R            6 222     p/m,19 000 km,Used Car,Automatic
2022 Toyota Hilux 2.0 S,"Parktown, Johannesburg",R 326 300,R            6 211     p/m,19 000 km,Used Car,Automatic
2020 Kia Rio hatch 1.4 Tec,"Raceview, Alberton",R 325 950,R            6 204     p/m,47 350 km,Used Car,Manual
2021 Ford EcoSport 1.0T Titanium,"Wilro Park, Roodepoort",R 325 900,R            6 203     p/m,17 200 km,Used Car,Manual
2022 Mercedes-Benz C-Class C220d AMG Line,,R 1 090 900,R            20 764     p/m,9 463 km,Used Car,Automatic
2018 Mercedes-Benz GLC GLC220d 4Matic AMG Line,,R 629 900,R            11 990     p/m,67 212 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,,R 4 250 000,R            80 895     p/m,2 258 km,Used Car,Automatic
2022 Ford EcoSport 1.5 Ambiente Auto,"Bramley, Johannesburg",R 325 900,R            6 203     p/m,5 000 km,Used Car,Automatic
2020 Kia K2500 2.5TD workhorse dropside (aircon),"Witkoppen, Sandton",R 325 900,R            6 203     p/m,17 000 km,Used Car,Manual
2020 Nissan NV350 Impendulo 2.5i 16-seater,"Bardene, Boksburg",R 325 900,R            6 203     p/m,144 320 km,Used Car,Manual
,,,,144 320 km,Used Car,Manual
2022 Nissan Micra 84kW Turbo Acenta Plus,"South Crest, Alberton",R 325 800,R            6 201     p/m,9 865 km,Used Car,Manual
2017 BMW 3 Series 320i Luxury Line Auto,"Cresta, Randburg",R 325 000,R            6 186     p/m,87 549 km,Used Car,Automatic
2017 Toyota Hilux 2.8GD-6 Raider,"Bedfordview, Bedfordview",R 325 000,R            6 186     p/m,146 000 km,Used Car,Manual
2018 BMW 1 Series 118i 5-Door M Sport Auto,"Bedfordview, Bedfordview",R 325 000,R            6 186     p/m,29 000 km,Used Car,Automatic
2011 Jaguar XF XFR,"Parkdene, Boksburg",R 325 000,R            6 186     p/m,80 000 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline,"Rhodesfield, Kempton Park",R 325 000,R            6 186     p/m,26 402 km,Used Car,Manual
2021 Kia Sonet 1.5 EX,"Kramerville, Sandton",R 324 995,R            6 186     p/m,13 950 km,Used Car,Manual
2013 Porsche 911 Carrera Cabriolet Auto,,R 1 149 950,R            21 888     p/m,50 000 km,Used Car,Automatic
2020 Mercedes-Benz C-Class C180,,R 600 000,R            11 420     p/m,57 000 km,Used Car,Automatic
2019 Land Rover Range Rover Velar D240 R-Dynamic SE,,R 1 229 000,R            23 393     p/m,33 750 km,Used Car,Automatic
2022 Kia Sonet 1.5 LX,"Craighall Park, Johannesburg",R 324 995,R            6 186     p/m,33 750 km,Used Car,Automatic
2021 Hyundai Venue 1.0T Motion Auto,"Allen's Nek, Roodepoort",R 324 995,R            6 186     p/m,25 000 km,Used Car,Automatic
2021 Hyundai Venue 1.0T Motion Auto,"Allen's Nek, Roodepoort",R 324 995,R            6 186     p/m,34 100 km,Used Car,Automatic
1990 Porsche 944 S2,"Kramerville, Sandton",POA,,165 000 km,Used Car,Manual
2022 Mazda Mazda2 1.5 Dynamic Auto,"Highveld Business Park, Centurion",R 324 900,R            6 184     p/m,1 000 km,Used Car,Automatic
2018 BMW 3 Series 320i Luxury Line Auto,"Kensington B, Randburg",R 324 900,R            6 184     p/m,127 500 km,Used Car,Automatic
2020 Mazda Mazda3 Sedan 1.5 Active,"Jansenpark, Boksburg",R 324 900,R            6 184     p/m,34 000 km,Used Car,Manual
2022 Honda Fit 1.5 Comfort,"Highveld Business Park, Centurion",R 324 900,R            6 184     p/m,350 km,Used Car,Automatic
2019 Toyota Corolla Hatch 1.2T XR,"Blackheath, Randburg",R 324 900,R            6 184     p/m,73 600 km,Used Car,Automatic
2022 Suzuki Jimny 1.5 GL Allgrip,"Rosettenville, Johannesburg",R 324 900,R            6 184     p/m,30 km,Used Car,Manual
1999 Mitsubishi Pajero 3500 V6,,R 149 900,R            2 853     p/m,72 000 km,Used Car,Manual
2009 Land Rover Freelander 2 SE TD4 Auto,,R 99 900,R            1 902     p/m,245 000 km,Used Car,Automatic
2009 Mitsubishi Pajero 5-Door 3.2DI-D GLX,,R 229 900,R            4 376     p/m,230 000 km,Used Car,Automatic
2020 Isuzu D-Max 250 Double Cab Hi-Ride,"Glen Nerine, Sandton",R 324 900,R            6 184     p/m,139 000 km,Used Car,Manual
2022 Renault Clio 1.0 Turbo Zen,"Glenvarloch, Nigel",R 324 900,R            6 184     p/m,139 000 km,Used Car,Manual
2022 Peugeot 208 1.2T Allure,"Sunninghill, Sandton",R 324 900,R            6 184     p/m,1 500 km,Used Car,Manual
,,,,1 500 km,Used Car,Manual
2016 Kia Sorento 2.2CRDi 4WD Auto,"Bedfordview, Bedfordview",R 324 900,R            6 184     p/m,156 000 km,Used Car,Automatic
2022 Volkswagen Polo Hatch 1.0TSI 70kW,"Cresta, Randburg",R 324 600,R            6 178     p/m,156 000 km,Used Car,Automatic
2022 Volkswagen Polo Hatch 1.0TSI 70kW,"Cresta, Randburg",R 324 600,R            6 178     p/m,156 000 km,Used Car,Automatic
2022 GWM Steed 5 2.0VGT SX 4WD,"Raslouw, Centurion",R 324 400,R            6 175     p/m,156 000 km,Used Car,Automatic
2021 Ford EcoSport 1.0T Trend,"Rhodesfield, Kempton Park",R 323 995,R            6 167     p/m,25 000 km,Used Car,Manual
2019 MINI Hatch Cooper Hatch 5-Door Auto,"Payneville, Springs",R 323 201,R            6 152     p/m,40 500 km,Used Car,Automatic
2021 Ford EcoSport 1.0T Trend Auto,"Highveld Business Park, Centurion",R 323 095,R            6 150     p/m,12 333 km,Used Car,Automatic
2022 Suzuki Celerio 1.0 GL Auto,,R 194 900,R            3 710     p/m,669 km,Used Car,Automatic
2015 Renault Captur 66kW Turbo Dynamique,,R 169 900,R            3 234     p/m,31 056 km,Used Car,Manual
2021 Kia Grand Sedona 2.2CRDi EX+,,R 629 900,R            11 990     p/m,22 514 km,Used Car,Automatic
,,,,22 514 km,Used Car,Automatic
2022 Hyundai i20 1.4 Motion Auto,"Glenvarloch, Nigel",R 321 900,R            6 127     p/m,22 514 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GLX Auto,"Rosettenville, Johannesburg",R 320 900,R            6 108     p/m,22 514 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GLX Auto,"Witkoppen, Sandton",R 320 900,R            6 108     p/m,1 000 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GLX Auto,"Kew, Johannesburg",R 320 900,R            6 108     p/m,101 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GLX Auto,"Kew, Johannesburg",R 320 900,R            6 108     p/m,101 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GLX Auto,"Kew, Johannesburg",R 320 900,R            6 108     p/m,101 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GLX Auto,"Barbeque Downs, Midrand",R 320 900,R            6 108     p/m,201 km,Used Car,Automatic
2015 Mercedes-Benz C-Class C220 BlueTec Auto,"Sandown, Sandton",R 320 737,R            6 105     p/m,117 000 km,Used Car,Automatic
2022 Mazda Mazda2 1.5 Dynamic,"Kenilworth, Johannesburg",R 320 500,R            6 100     p/m,101 km,Used Car,Manual
2022 Mazda Mazda2 1.5 Dynamic,"Kenilworth, Johannesburg",R 320 500,R            6 100     p/m,101 km,Used Car,Manual
2015 Ford Ranger 3.2TDCi 4x4 XLS,,R 269 900,R            5 137     p/m,100 300 km,Used Car,Manual
2017 Volkswagen Tiguan 2.0TDI 4Motion Highline,,R 489 900,R            9 325     p/m,103 000 km,Used Car,Automatic
2016 Mitsubishi ASX 2.0 GLS Auto,,R 269 900,R            5 137     p/m,58 000 km,Used Car,Automatic
2022 Mazda Mazda2 1.5 Dynamic,"Kenilworth, Johannesburg",R 320 500,R            6 100     p/m,101 km,Used Car,Manual
2022 Toyota Urban Cruiser 1.5 XR,"Parktown, Johannesburg",R 320 300,R            6 097     p/m,101 km,Used Car,Manual
2015 Lexus IS 350 F-Sport,"Malvern, Johannesburg",R 320 000,R            6 091     p/m,112 000 km,Used Car,Automatic
2020 Hyundai Creta 1.6CRDi Executive Auto,"Malvern, Johannesburg",R 320 000,R            6 091     p/m,20 000 km,Used Car,Automatic
2016 Volkswagen Amarok 2.0TDI Double Cab Trendline,"Malvern, Johannesburg",R 320 000,R            6 091     p/m,110 000 km,Used Car,Manual
2018 BMW 1 Series 118i 5-Door M Sport Auto,"Malvern, Johannesburg",R 320 000,R            6 091     p/m,30 000 km,Used Car,Automatic
2015 Isuzu KB 300D-Teq Double Cab 4x4 LX,"Malvern, Johannesburg",R 320 000,R            6 091     p/m,114 000 km,Used Car,Manual
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Witkoppen, Sandton",R 320 000,R            6 091     p/m,114 000 km,Used Car,Manual
2011 Toyota Land Cruiser Prado 4.0 TX,"Pierre Van Ryneveld, Centurion",R 320 000,R            6 091     p/m,194 000 km,Used Car,Automatic
2013 BMW X5 xDrive30d M Sport,"Parkdene, Boksburg",R 320 000,R            6 091     p/m,137 000 km,Used Car,Automatic
2012 Volkswagen Amarok 2.0TDI 90kW Double Cab Trendline 4Motion,,R 249 900,R            4 757     p/m,168 000 km,Used Car,Manual
2019 BMW M5 M5,,R 1 339 000,R            25 487     p/m,51 133 km,Used Car,Automatic
2022 Kia Seltos 1.5CRDi EX,,R 399 900,R            7 612     p/m,15 000 km,Used Car,Manual
2022 GWM Steed 5 2.0VGT Double Cab SX,"Rhodesfield, Kempton Park",R 320 000,R            6 091     p/m,12 000 km,Used Car,Manual
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Weltevreden Park, Roodepoort",R 319 999,R            6 091     p/m,12 000 km,Used Car,Manual
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Weltevreden Park, Roodepoort",R 319 999,R            6 091     p/m,12 000 km,Used Car,Manual
2021 Toyota Corolla Quest 1.8 Prestige Auto,"Craighall Park, Johannesburg",R 319 995,R            6 091     p/m,12 000 km,Used Car,Manual
2018 Hyundai Elantra 1.6 Turbo Elite Sport,"Allen's Nek, Roodepoort",R 319 995,R            6 091     p/m,76 500 km,Used Car,Automatic
2021 Toyota Corolla Quest 1.8 Auto,"Darrenwood, Randburg",R 319 990,R            6 091     p/m,24 200 km,Used Car,Automatic
2021 Ford EcoSport 1.0T Trend Auto,"Factoria, Krugersdorp",R 319 990,R            6 091     p/m,29 105 km,Used Car,Automatic
2021 Ford EcoSport 1.0T Titanium,"Factoria, Krugersdorp",R 319 990,R            6 091     p/m,20 405 km,Used Car,Manual
2021 Kia K2700 2.7D Workhorse Dropside,"Centurion Central, Centurion",R 319 990,R            6 091     p/m,21 000 km,Used Car,Manual
2014 Volkswagen Golf GTi Auto,"Centurion Central, Centurion",R 319 990,R            6 091     p/m,122 000 km,Used Car,Automatic
2022 Mercedes-Benz C-Class C300 Coupe,,R 999 000,R            19 015     p/m,12 500 km,Used Car,Automatic
2022 Mercedes-Benz A-Class A200 Hatch Progressive,,R 669 000,R            12 734     p/m,24 000 km,Used Car,Automatic
2022 Mercedes-Benz GLA GLA200 Progressive,,R 769 000,R            14 637     p/m,12 000 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 319 950,R            6 090     p/m,23 890 km,Used Car,Automatic
2013 Land Rover Discovery 4 SDV6 SE,"Edenvale Central, Edenvale",R 319 950,R            6 090     p/m,192 629 km,Used Car,Automatic
2013 Land Rover Discovery 4 SDV6 SE,"Ravenswood, Boksburg",R 319 950,R            6 090     p/m,237 708 km,Used Car,Automatic
2012 Mercedes-Benz CLS CLS500,"Paulshof, Sandton",R 319 950,R            6 090     p/m,170 000 km,Used Car,Automatic
2010 Land Rover Discovery 4 3.0 TDV6 SE,"Kensington B, Randburg",R 319 950,R            6 090     p/m,101 000 km,Used Car,Automatic
,,,,101 000 km,Used Car,Automatic
2021 Ford EcoSport 1.5TDCi Ambiente,"Raceview, Alberton",R 319 950,R            6 090     p/m,37 200 km,Used Car,Manual
2019 Mazda CX-3 2.0 Dynamic Auto,"Raceview, Alberton",R 319 950,R            6 090     p/m,43 350 km,Used Car,Automatic
2017 Honda CR-V 2.0 Elegance Auto,"Raceview, Alberton",R 319 950,R            6 090     p/m,108 500 km,Used Car,Automatic
2017 Audi A3 Sedan 1.0TFSI Auto,"Raceview, Alberton",R 319 950,R            6 090     p/m,105 300 km,Used Car,Automatic
2016 Volkswagen Golf 1.4TSI Comfortline Auto,"Bedfordview, Bedfordview",R 319 950,R            6 090     p/m,91 800 km,Used Car,Automatic
2014 Opel Astra Sedan 1.4 Turbo Essentia,,R 139 000,R            2 646     p/m,170 000 km,Used Car,Manual
2020 Isuzu D-Max 250 Double Cab Hi-Ride,,R 369 500,R            7 033     p/m,69 000 km,Used Car,Manual
2022 Suzuki Ertiga 1.5 GL,,R 267 451,R            5 091     p/m,101 km,Used Car,Manual
2015 Audi Q3 2.0TDI Quattro Auto,"De Deur, Vereeniging",R 319 950,R            6 090     p/m,154 000 km,Used Car,Automatic
2020 Volkswagen Polo Hatch 1.0TSI Comfortline,"Blackheath, Randburg",R 319 950,R            6 090     p/m,18 954 km,Used Car,Manual
2016 Volvo V60 T5 Elite,"Auckland Park, Johannesburg",R 319 950,R            6 090     p/m,109 500 km,Used Car,Automatic
2019 Haval H6 C 2.0T Luxury,"Eldoraigne, Centurion",R 319 950,R            6 090     p/m,46 000 km,Used Car,Manual
2021 Ford EcoSport 1.5TDCi Ambiente,"Hurlyvale, Edenvale",R 319 950,R            6 090     p/m,11 008 km,Used Car,Manual
,,,,11 008 km,Used Car,Manual
2010 Land Rover Discovery 4 3.0 TDV6 SE,"Kensington B, Randburg",R 319 950,R            6 090     p/m,101 000 km,Used Car,Automatic
2021 Ford EcoSport 1.5TDCi Ambiente,"Raceview, Alberton",R 319 950,R            6 090     p/m,37 200 km,Used Car,Manual
2019 Mazda CX-3 2.0 Dynamic Auto,"Raceview, Alberton",R 319 950,R            6 090     p/m,43 350 km,Used Car,Automatic
2017 Honda CR-V 2.0 Elegance Auto,"Raceview, Alberton",R 319 950,R            6 090     p/m,108 500 km,Used Car,Automatic
2017 Audi A3 Sedan 1.0TFSI Auto,"Raceview, Alberton",R 319 950,R            6 090     p/m,105 300 km,Used Car,Automatic
2022 Haval H6 2.0T Luxury,,R 469 900,R            8 944     p/m,18 000 km,Used Car,Automatic
2022 GWM Steed 5 2.2MPi Workhorse,,R 217 900,R            4 148     p/m,101 km,Demo,Manual
2016 BMW 2 Series 228i Coupe M Sport Auto,,R 329 900,R            6 279     p/m,104 000 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 319 950,R            6 090     p/m,23 890 km,Used Car,Automatic
2021 Volkswagen Polo Hatch 1.0TSI Comfortline,"Birnam, Johannesburg",R 319 950,R            6 090     p/m,21 000 km,Used Car,Manual
2015 Audi Q5 2.0TDI S Quattro Auto,"Northcliff, Randburg",R 319 950,R            6 090     p/m,108 000 km,Used Car,Automatic
2015 Jeep Grand Cherokee 3.6L Limited,"Northcliff, Randburg",R 319 950,R            6 090     p/m,76 000 km,Used Car,Automatic
2019 Volkswagen Polo Hatch 1.0TSI Highline,"Ravenswood, Boksburg",R 319 950,R            6 090     p/m,65 823 km,Used Car,Manual
2012 BMW X5 xDrive30d Dynamic,"Kensington B, Randburg",R 319 950,R            6 090     p/m,136 000 km,Used Car,Automatic
2022 Volkswagen Polo Vivo Hatch 1.0TSI GT,"Blackheath, Randburg",R 319 950,R            6 090     p/m,500 km,Demo,Manual
2021 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Bardene, Boksburg",R 319 950,R            6 090     p/m,21 823 km,Used Car,Automatic
2019 Volkswagen Polo Hatch 1.0TSI Comfortline Auto,"Benoni Industrial, Benoni",R 319 950,R            6 090     p/m,52 000 km,Used Car,Automatic
2016 Audi Q5 2.0TDI S Quattro Auto,"Benoni Industrial, Benoni",R 319 950,R            6 090     p/m,153 103 km,Used Car,Automatic
2017 Haval H2 1.5T City Auto,,R 239 999,R            4 568     p/m,102 735 km,Used Car,Automatic
2015 Audi Q5 2.0TDI S Quattro Auto,,R 379 900,R            7 231     p/m,95 871 km,Used Car,Automatic
2016 Mercedes-Benz Vito 116 CDI CrewBus Auto,,R 390 000,R            7 423     p/m,134 000 km,Used Car,Automatic
2016 Ford Ranger 2.2TDCi Double Cab Hi-Rider XL Auto,"De Deur, Vereeniging",R 319 950,R            6 090     p/m,170 000 km,Used Car,Automatic
2015 Hyundai Santa Fe 2.2CRDi 4WD Elite 7-Seater,"Heidelberg Industrial, Heidelberg",R 319 900,R            6 089     p/m,149 900 km,Used Car,Automatic
2022 Toyota Rumion 1.5 SX,"Sandown, Sandton",R 319 900,R            6 089     p/m,3 000 km,Used Car,Manual
2019 Hyundai Creta 1.6 Executive Auto,"Bardene, Boksburg",R 319 900,R            6 089     p/m,81 444 km,Used Car,Automatic
,,,,81 444 km,Used Car,Automatic
2022 Opel Crossland 1.2 Edition,"Springs Central, Springs",R 319 900,R            6 089     p/m,81 444 km,Used Car,Automatic
